,AC ID,Actual Departure Time,Arrival Time,Fuel Consumed
0,KLM03-01,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
1,KLM03-20,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
2,KLM03-19,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
3,KLM03-18,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
4,KLM03-17,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
5,KLM03-16,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
6,KLM03-15,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
7,KLM03-14,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
8,KLM03-13,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
9,KLM03-12,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
10,KLM03-11,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
11,KLM03-10,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
12,KLM03-09,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
13,KLM03-08,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
14,KLM03-07,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
15,KLM03-06,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
16,KLM03-05,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
17,KLM03-04,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
18,KLM03-03,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
19,KLM03-02,01-Sep-2017 02:36:00,01-Sep-2017 02:38:30,0.
